,type,text,freq,font,fontsize,rotation,noise_level,filename,question,question_correct,question_filename,event_id,question_asked
213,consonants,jtltfj,,Impact,30,0,0.5,consonants_jtltfj.png,_ _ _ _ f _,True,consonants_jtltfj_question.png,20,True
214,word,silaus,76.0,Impact,40,15,0.35,word_silaus.png,_ _ _ d _ _,False,word_silaus_question.png,10,False
215,word,klaava,357.0,Comic Sans MS,40,15,0.35,word_klaava.png,_ e _ _ _ _,False,word_klaava_question.png,10,False
216,word,jäte,91.0,Comic Sans MS,30,0,0.35,word_jäte.png,_ ä _ _,True,word_jäte_question.png,10,False
217,word,hajan,28.0,Impact,20,0,0.2,word_hajan.png,_ _ _ _ n,True,word_hajan_question.png,10,False
218,consonants,zqshvj,,Comic Sans MS,20,15,0.2,consonants_zqshvj.png,_ _ _ m _ _,False,consonants_zqshvj_question.png,20,False
219,symbols,v^s^vd,,DejaVu Sans,30,-15,0.2,symbols_v^s^vd.png,_ _ _ s _ _,False,symbols_v^s^vd_question.png,30,True
220,word,itää,179.0,Comic Sans MS,30,15,0.5,word_itää.png,_ t _ _,True,word_itää_question.png,10,False
221,word,puida,77.0,Comic Sans MS,20,-15,0.5,word_puida.png,_ _ _ t _,False,word_puida_question.png,10,False
222,word,räntä,11.0,Comic Sans MS,40,0,0.35,word_räntä.png,r _ _ _ _,True,word_räntä_question.png,10,False
223,symbols,voov^v,,DejaVu Sans,30,15,0.35,symbols_voov^v.png,_ _ _ _ ^ _,True,symbols_voov^v_question.png,30,False
224,consonants,gmrq,,Times New Roman,40,15,0.35,consonants_gmrq.png,_ z _ _,False,consonants_gmrq_question.png,20,True
225,word,jänne,68.0,Times New Roman,20,-15,0.2,word_jänne.png,_ _ _ p _,False,word_jänne_question.png,10,False
226,word,itiö,17.0,Comic Sans MS,40,15,0.5,word_itiö.png,_ _ _ ö,True,word_itiö_question.png,10,False
227,word,katodi,6.0,Comic Sans MS,30,-15,0.35,word_katodi.png,_ ü _ _ _ _,False,word_katodi_question.png,10,False
228,word,tenä,5.0,Impact,40,-15,0.35,word_tenä.png,_ e _ _,True,word_tenä_question.png,10,False
229,word,loraus,56.0,Impact,20,-15,0.2,word_loraus.png,_ o _ _ _ _,True,word_loraus_question.png,10,False
230,consonants,gkzpg,,Comic Sans MS,20,0,0.35,consonants_gkzpg.png,g _ _ _ _,True,consonants_gkzpg_question.png,20,False
231,word,ilmi,3063.0,Impact,20,15,0.35,word_ilmi.png,_ _ _ i,True,word_ilmi_question.png,10,False
232,word,pamppu,197.0,Comic Sans MS,20,0,0.35,word_pamppu.png,_ _ _ _ q _,False,word_pamppu_question.png,10,True
233,symbols,odsoo^,,DejaVu Sans,40,15,0.35,symbols_odsoo^.png,_ _ s _ _ _,True,symbols_odsoo^_question.png,30,False
234,word,ahjo,29.0,Times New Roman,40,15,0.5,word_ahjo.png,_ h _ _,True,word_ahjo_question.png,10,False
235,symbols,s^v^s,,DejaVu Sans,20,-15,0.2,symbols_s^v^s.png,_ _ o _ _,False,symbols_s^v^s_question.png,30,False
236,consonants,zlln,,Comic Sans MS,20,-15,0.5,consonants_zlln.png,_ l _ _,True,consonants_zlln_question.png,20,False
237,word,akti,34.0,Times New Roman,20,0,0.35,word_akti.png,_ _ t _,True,word_akti_question.png,10,False
238,word,terska,7.0,Comic Sans MS,20,-15,0.35,word_terska.png,_ _ _ _ c _,False,word_terska_question.png,10,True
239,word,säle,18.0,Comic Sans MS,30,15,0.2,word_säle.png,_ _ _ v,False,word_säle_question.png,10,False
240,word,riimu,70.0,Comic Sans MS,20,15,0.35,word_riimu.png,_ _ i _ _,True,word_riimu_question.png,10,False
241,word,poru,12.0,Times New Roman,20,0,0.2,word_poru.png,_ _ _ u,True,word_poru_question.png,10,False
242,word,kolhia,32.0,Times New Roman,20,15,0.5,word_kolhia.png,_ _ _ _ _ i,False,word_kolhia_question.png,10,False
243,symbols,dodv,,DejaVu Sans,30,-15,0.35,symbols_dodv.png,_ _ _ v,True,symbols_dodv_question.png,30,False
244,symbols,^d^oos,,DejaVu Sans,30,15,0.5,symbols_^d^oos.png,_ _ _ _ o _,True,symbols_^d^oos_question.png,30,False
245,consonants,bzhkd,,Impact,20,-15,0.5,consonants_bzhkd.png,_ _ _ _ d,True,consonants_bzhkd_question.png,20,True
246,consonants,ldtg,,Impact,40,-15,0.2,consonants_ldtg.png,_ _ _ g,True,consonants_ldtg_question.png,20,False
247,word,druidi,116.0,Comic Sans MS,40,-15,0.5,word_druidi.png,_ _ r _ _ _,False,word_druidi_question.png,10,False
248,symbols,ssods,,DejaVu Sans,20,-15,0.35,symbols_ssods.png,_ s _ _ _,True,symbols_ssods_question.png,30,False
249,word,pesula,230.0,Times New Roman,30,0,0.5,word_pesula.png,_ _ l _ _ _,False,word_pesula_question.png,10,False
250,word,korren,100.0,Comic Sans MS,20,0,0.2,word_korren.png,_ _ _ w _ _,False,word_korren_question.png,10,False
251,word,sarake,21.0,Impact,20,15,0.2,word_sarake.png,ä _ _ _ _ _,False,word_sarake_question.png,10,True
252,symbols,sovs,,DejaVu Sans,30,0,0.2,symbols_sovs.png,s _ _ _,True,symbols_sovs_question.png,30,False
253,word,seimi,25.0,Comic Sans MS,30,15,0.35,word_seimi.png,_ _ _ m _,True,word_seimi_question.png,10,False
254,word,uuhi,17.0,Impact,40,0,0.2,word_uuhi.png,_ _ _ z,False,word_uuhi_question.png,10,False
255,consonants,lcrzjb,,Times New Roman,40,0,0.2,consonants_lcrzjb.png,_ _ r _ _ _,True,consonants_lcrzjb_question.png,20,False
256,word,uute,13.0,Times New Roman,40,0,0.5,word_uute.png,_ _ t _,True,word_uute_question.png,10,True
257,word,faksi,269.0,Times New Roman,20,0,0.5,word_faksi.png,_ _ p _ _,False,word_faksi_question.png,10,False
258,word,vipu,167.0,Impact,30,-15,0.5,word_vipu.png,_ _ p _,True,word_vipu_question.png,10,False
259,word,jaos,288.0,Times New Roman,40,0,0.2,word_jaos.png,_ _ c _,False,word_jaos_question.png,10,False
260,consonants,txhs,,Comic Sans MS,20,15,0.35,consonants_txhs.png,_ _ h _,True,consonants_txhs_question.png,20,True
261,consonants,sclc,,Times New Roman,30,0,0.5,consonants_sclc.png,_ _ l _,True,consonants_sclc_question.png,20,False
262,word,hamaan,86.0,Comic Sans MS,20,0,0.5,word_hamaan.png,_ _ _ _ ä _,False,word_hamaan_question.png,10,False
263,word,lohi,218.0,Times New Roman,30,0,0.35,word_lohi.png,_ _ q _,False,word_lohi_question.png,10,False
264,word,päkiä,5.0,Impact,40,0,0.35,word_päkiä.png,t _ _ _ _,False,word_päkiä_question.png,10,False
265,word,diodi,8.0,Times New Roman,40,15,0.35,word_diodi.png,_ _ o _ _,True,word_diodi_question.png,10,False
266,consonants,rwfcq,,Comic Sans MS,20,0,0.5,consonants_rwfcq.png,_ _ _ c _,True,consonants_rwfcq_question.png,20,False
267,symbols,vodds,,DejaVu Sans,40,0,0.5,symbols_vodds.png,_ v _ _ _,False,symbols_vodds_question.png,30,False
268,consonants,gsdx,,Impact,40,0,0.2,consonants_gsdx.png,_ _ _ x,True,consonants_gsdx_question.png,20,False
269,word,älytä,26.0,Impact,30,-15,0.35,word_älytä.png,_ _ _ _ ä,True,word_älytä_question.png,10,True
270,symbols,svvd,,DejaVu Sans,20,-15,0.5,symbols_svvd.png,_ v _ _,True,symbols_svvd_question.png,30,False
271,word,mäntä,66.0,Impact,20,15,0.35,word_mäntä.png,_ ä _ _ _,True,word_mäntä_question.png,10,False
272,consonants,xgtt,,Impact,20,15,0.5,consonants_xgtt.png,_ _ t _,True,consonants_xgtt_question.png,20,False
273,consonants,zfjxqk,,Comic Sans MS,40,-15,0.5,consonants_zfjxqk.png,z _ _ _ _ _,True,consonants_zfjxqk_question.png,20,False
274,symbols,s^dv^,,DejaVu Sans,20,0,0.35,symbols_s^dv^.png,_ _ d _ _,True,symbols_s^dv^_question.png,30,True
275,consonants,dwmdd,,Comic Sans MS,30,15,0.35,consonants_dwmdd.png,_ _ _ _ d,True,consonants_dwmdd_question.png,20,False
276,word,syöpyä,10.0,Comic Sans MS,20,15,0.35,word_syöpyä.png,_ a _ _ _ _,False,word_syöpyä_question.png,10,False
277,word,erkani,27.0,Impact,30,-15,0.2,word_erkani.png,_ _ _ a _ _,True,word_erkani_question.png,10,False
278,consonants,zkbwm,,Comic Sans MS,40,0,0.2,consonants_zkbwm.png,z _ _ _ _,True,consonants_zkbwm_question.png,20,False
279,word,säie,38.0,Comic Sans MS,30,-15,0.5,word_säie.png,_ z _ _,False,word_säie_question.png,10,False
280,consonants,zdvv,,Times New Roman,20,15,0.2,consonants_zdvv.png,l _ _ _,False,consonants_zdvv_question.png,20,False
281,symbols,^s^s,,DejaVu Sans,40,15,0.5,symbols_^s^s.png,_ _ ^ _,True,symbols_^s^s_question.png,30,True
282,consonants,hjqc,,Impact,40,0,0.5,consonants_hjqc.png,_ j _ _,True,consonants_hjqc_question.png,20,False
283,word,kyhmy,97.0,Comic Sans MS,40,0,0.2,word_kyhmy.png,_ _ _ h _,False,word_kyhmy_question.png,10,False
284,symbols,^dso,,DejaVu Sans,20,0,0.5,symbols_^dso.png,_ d _ _,True,symbols_^dso_question.png,30,False
285,word,uima,105.0,Impact,40,15,0.5,word_uima.png,u _ _ _,True,word_uima_question.png,10,False
286,symbols,sodvds,,DejaVu Sans,20,0,0.2,symbols_sodvds.png,_ _ _ _ _ d,False,symbols_sodvds_question.png,30,True
287,consonants,tcfwdr,,Comic Sans MS,30,0,0.2,consonants_tcfwdr.png,_ r _ _ _ _,False,consonants_tcfwdr_question.png,20,False
288,word,äimä,6.0,Times New Roman,40,-15,0.35,word_äimä.png,e _ _ _,False,word_äimä_question.png,10,False
289,word,iäti,265.0,Impact,30,0,0.35,word_iäti.png,_ _ _ i,True,word_iäti_question.png,10,False
290,word,näkö,506.0,Times New Roman,30,-15,0.5,word_näkö.png,n _ _ _,True,word_näkö_question.png,10,False
291,consonants,gnbtn,,Impact,30,15,0.5,consonants_gnbtn.png,_ n _ _ _,True,consonants_gnbtn_question.png,20,True
292,symbols,^vdovd,,DejaVu Sans,30,-15,0.35,symbols_^vdovd.png,_ v _ _ _ _,True,symbols_^vdovd_question.png,30,False
293,consonants,nrxlzx,,Impact,40,15,0.2,consonants_nrxlzx.png,_ _ x _ _ _,True,consonants_nrxlzx_question.png,20,False
294,word,kussa,7.0,Comic Sans MS,30,0,0.35,word_kussa.png,_ _ _ ü _,False,word_kussa_question.png,10,False
295,symbols,^vvsvv,,DejaVu Sans,40,-15,0.5,symbols_^vvsvv.png,_ _ _ _ v _,True,symbols_^vvsvv_question.png,30,False
296,word,ampuja,2571.0,Impact,40,15,0.35,word_ampuja.png,_ _ _ u _ _,True,word_ampuja_question.png,10,True
297,symbols,v^^^^,,DejaVu Sans,20,-15,0.2,symbols_v^^^^.png,_ _ _ _ v,False,symbols_v^^^^_question.png,30,False
298,consonants,gqpkfs,,Times New Roman,20,-15,0.5,consonants_gqpkfs.png,w _ _ _ _ _,False,consonants_gqpkfs_question.png,20,False
299,symbols,vodv^^,,DejaVu Sans,40,-15,0.35,symbols_vodv^^.png,_ v _ _ _ _,False,symbols_vodv^^_question.png,30,False
300,word,vaje,37.0,Times New Roman,40,15,0.5,word_vaje.png,_ a _ _,True,word_vaje_question.png,10,False
301,consonants,dfdzj,,Times New Roman,30,-15,0.5,consonants_dfdzj.png,_ m _ _ _,False,consonants_dfdzj_question.png,20,False
302,consonants,xmpt,,Times New Roman,40,0,0.35,consonants_xmpt.png,_ _ p _,True,consonants_xmpt_question.png,20,False
303,symbols,vssov,,DejaVu Sans,30,-15,0.5,symbols_vssov.png,_ _ s _ _,True,symbols_vssov_question.png,30,False
304,word,äänes,18.0,Comic Sans MS,40,15,0.2,word_äänes.png,_ ä _ _ _,True,word_äänes_question.png,10,True
305,symbols,^vvdv,,DejaVu Sans,30,-15,0.2,symbols_^vvdv.png,_ v _ _ _,True,symbols_^vvdv_question.png,30,False
306,consonants,lldk,,Comic Sans MS,20,0,0.2,consonants_lldk.png,_ l _ _,True,consonants_lldk_question.png,20,False
307,symbols,s^od,,DejaVu Sans,30,-15,0.5,symbols_s^od.png,_ _ _ o,False,symbols_s^od_question.png,30,False
308,word,kaste,123.0,Comic Sans MS,20,0,0.5,word_kaste.png,_ a _ _ _,True,word_kaste_question.png,10,True
309,word,noppa,85.0,Comic Sans MS,40,0,0.5,word_noppa.png,_ _ _ ü _,False,word_noppa_question.png,10,False
310,symbols,dovv^,,DejaVu Sans,20,0,0.35,symbols_dovv^.png,_ _ _ v _,True,symbols_dovv^_question.png,30,False
311,consonants,wqghh,,Impact,40,0,0.35,consonants_wqghh.png,_ _ _ _ h,True,consonants_wqghh_question.png,20,False
312,word,harjus,5.0,Times New Roman,20,15,0.2,word_harjus.png,h _ _ _ _ _,True,word_harjus_question.png,10,False
313,symbols,dsdoo^,,DejaVu Sans,40,15,0.2,symbols_dsdoo^.png,_ _ _ _ _ d,False,symbols_dsdoo^_question.png,30,False
314,symbols,sodo,,DejaVu Sans,30,-15,0.35,symbols_sodo.png,d _ _ _,False,symbols_sodo_question.png,30,False
315,consonants,wvxw,,Impact,40,15,0.5,consonants_wvxw.png,_ _ k _,False,consonants_wvxw_question.png,20,True
316,word,syaani,10.0,Times New Roman,20,-15,0.5,word_syaani.png,s _ _ _ _ _,True,word_syaani_question.png,10,False
317,word,kustos,7.0,Comic Sans MS,30,0,0.5,word_kustos.png,_ _ ü _ _ _,False,word_kustos_question.png,10,False
318,symbols,^s^vds,,DejaVu Sans,40,0,0.35,symbols_^s^vds.png,^ _ _ _ _ _,True,symbols_^s^vds_question.png,30,False
319,word,hautua,74.0,Impact,30,15,0.5,word_hautua.png,_ _ u _ _ _,True,word_hautua_question.png,10,False
320,consonants,hnxf,,Times New Roman,40,15,0.2,consonants_hnxf.png,_ k _ _,False,consonants_hnxf_question.png,20,True
321,consonants,nczkbj,,Times New Roman,20,15,0.35,consonants_nczkbj.png,d _ _ _ _ _,False,consonants_nczkbj_question.png,20,False
322,symbols,oo^vdv,,DejaVu Sans,40,0,0.35,symbols_oo^vdv.png,_ _ o _ _ _,False,symbols_oo^vdv_question.png,30,False
323,word,kytkin,500.0,Times New Roman,40,-15,0.2,word_kytkin.png,_ _ _ g _ _,False,word_kytkin_question.png,10,False
324,symbols,vvosod,,DejaVu Sans,30,15,0.2,symbols_vvosod.png,_ _ _ _ _ d,True,symbols_vvosod_question.png,30,False
325,symbols,osdoo^,,DejaVu Sans,30,0,0.35,symbols_osdoo^.png,_ _ _ _ o _,True,symbols_osdoo^_question.png,30,False
326,word,sopu,74.0,Impact,40,0,0.2,word_sopu.png,_ c _ _,False,word_sopu_question.png,10,False
327,word,pokeri,160.0,Times New Roman,40,-15,0.5,word_pokeri.png,_ _ _ _ _ z,False,word_pokeri_question.png,10,False
328,word,ripsi,23.0,Impact,20,0,0.35,word_ripsi.png,r _ _ _ _,True,word_ripsi_question.png,10,True
329,word,kerubi,23.0,Times New Roman,20,15,0.2,word_kerubi.png,_ _ r _ _ _,True,word_kerubi_question.png,10,False
330,consonants,sqdq,,Impact,20,0,0.2,consonants_sqdq.png,_ _ _ q,True,consonants_sqdq_question.png,20,False
331,symbols,^d^vs,,DejaVu Sans,20,0,0.5,symbols_^d^vs.png,_ _ d _ _,False,symbols_^d^vs_question.png,30,False
332,word,köli,27.0,Comic Sans MS,20,-15,0.2,word_köli.png,_ _ _ d,False,word_köli_question.png,10,False
333,symbols,os^ood,,DejaVu Sans,30,15,0.35,symbols_os^ood.png,_ _ _ d _ _,False,symbols_os^ood_question.png,30,False
334,word,ylkä,6.0,Comic Sans MS,20,0,0.35,word_ylkä.png,_ _ k _,True,word_ylkä_question.png,10,False
335,consonants,jdfjs,,Comic Sans MS,20,15,0.5,consonants_jdfjs.png,_ _ _ k _,False,consonants_jdfjs_question.png,20,True
336,word,piip,264.0,Comic Sans MS,30,15,0.2,word_piip.png,_ i _ _,True,word_piip_question.png,10,False
337,consonants,bfkx,,Comic Sans MS,20,-15,0.2,consonants_bfkx.png,b _ _ _,True,consonants_bfkx_question.png,20,False
338,word,nirso,270.0,Impact,40,15,0.2,word_nirso.png,_ d _ _ _,False,word_nirso_question.png,10,True
339,word,tuohus,5.0,Comic Sans MS,20,0,0.2,word_tuohus.png,_ _ _ u _ _,False,word_tuohus_question.png,10,False
340,word,luusto,86.0,Times New Roman,30,15,0.2,word_luusto.png,p _ _ _ _ _,False,word_luusto_question.png,10,False
341,word,viipyä,1043.0,Impact,40,-15,0.5,word_viipyä.png,g _ _ _ _ _,False,word_viipyä_question.png,10,False
342,symbols,sovssd,,DejaVu Sans,40,-15,0.5,symbols_sovssd.png,_ _ _ _ ^ _,False,symbols_sovssd_question.png,30,False
343,word,sysi,6.0,Impact,20,-15,0.5,word_sysi.png,_ g _ _,False,word_sysi_question.png,10,False
344,word,miten,321956.0,Times New Roman,30,-15,0.35,word_miten.png,_ _ _ e _,True,word_miten_question.png,10,False
345,word,orpo,798.0,Comic Sans MS,30,-15,0.2,word_orpo.png,_ ö _ _,False,word_orpo_question.png,10,True
346,symbols,vd^s,,DejaVu Sans,20,15,0.5,symbols_vd^s.png,v _ _ _,True,symbols_vd^s_question.png,30,False
347,consonants,gnxd,,Comic Sans MS,40,0,0.35,consonants_gnxd.png,b _ _ _,False,consonants_gnxd_question.png,20,False
348,consonants,zkwnr,,Times New Roman,40,-15,0.35,consonants_zkwnr.png,z _ _ _ _,True,consonants_zkwnr_question.png,20,False
349,word,eliö,148.0,Comic Sans MS,30,15,0.5,word_eliö.png,_ _ i _,True,word_eliö_question.png,10,False
350,symbols,v^v^,,DejaVu Sans,30,0,0.35,symbols_v^v^.png,_ ^ _ _,True,symbols_v^v^_question.png,30,False
351,consonants,rkgpjs,,Impact,20,-15,0.35,consonants_rkgpjs.png,_ _ _ m _ _,False,consonants_rkgpjs_question.png,20,True
352,symbols,^vd^vd,,DejaVu Sans,20,15,0.2,symbols_^vd^vd.png,_ _ _ ^ _ _,True,symbols_^vd^vd_question.png,30,False
353,symbols,dod^os,,DejaVu Sans,40,15,0.35,symbols_dod^os.png,_ _ _ _ v _,False,symbols_dod^os_question.png,30,False
354,word,särkyä,94.0,Impact,20,15,0.5,word_särkyä.png,j _ _ _ _ _,False,word_särkyä_question.png,10,False
355,symbols,sovdvo,,DejaVu Sans,30,0,0.5,symbols_sovdvo.png,_ _ _ v _ _,False,symbols_sovdvo_question.png,30,False
356,word,karies,7.0,Impact,30,15,0.35,word_karies.png,_ _ _ i _ _,True,word_karies_question.png,10,False
357,symbols,^osd,,DejaVu Sans,40,0,0.2,symbols_^osd.png,_ _ d _,False,symbols_^osd_question.png,30,False
358,word,odote,20.0,Comic Sans MS,20,0,0.5,word_odote.png,_ _ _ _ j,False,word_odote_question.png,10,True
359,word,möly,10.0,Comic Sans MS,40,0,0.5,word_möly.png,_ _ _ y,True,word_möly_question.png,10,False
